723fa316-04dc-4131-97b7-58b9e67ff81e,2026-06-20 12:00:00+03,BionicHand-V1,85
bda49db8-12cd-4da0-96f3-8b89e3cb1b83,2026-06-20 12:05:00+03,BionicHand-V1,42
3fa85f64-5717-4562-b3fc-2c963f66afa6,2026-06-20 12:10:00+03,BionicLeg-X2,99
a582312b-381c-4b33-911b-684a0c8b3234,2026-06-20 12:15:00+03,BionicLeg-X2,15
5e9c6123-74d1-4b12-ba78-ef22a188bc8a,2026-06-20 12:20:00+03,BionicHand-V1,0
19cfa456-91ba-4322-94bc-ad23b789ef23,2026-06-20 12:25:00+03,BionicHand-Pro,77
cdba3412-56ef-47aa-bc12-de78f123bc45,2026-06-20 12:30:00+03,BionicHand-Pro,61
efab5678-de12-4cba-bc90-ef12345678ab,2026-06-20 12:35:00+03,BionicHand-V1,100
98765432-1234-abcd-ef01-23456789abcd,2026-06-20 12:40:00+03,BionicLeg-X2,53
11223344-5566-7788-9900-aabbccddeeff,2026-06-20 12:45:00+03,BionicLeg-Pro,28
723fa316-04dc-4131-97b7-58b9e67ff81e,2026-06-20 12:33:00+03,BionicHand-V1,85
bda49db8-12cd-4da0-96f3-8b89e3cb1b83,2026-06-20 12:33:00+03,BionicHand-V1,42
3fa85f64-5717-4562-b3fc-2c963f66afa6,2026-06-20 12:33:00+03,BionicLeg-X2,99
